time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1975-09-18T23:04:10.700Z,37.29,-90.92,5,2.2,mlg,,,,,nm,nm600272,2016-04-14T12:56:06.940Z,"16km SSE of Centerville, Missouri",earthquake,,,,,reviewed,nm,nm
1975-10-12T14:47:40.100Z,36.08,-89.78,5,2.1,mlg,,,,,nm,nm600289,2016-04-14T12:57:50.320Z,"4km E of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1975-11-19T23:12:07.400Z,36.17,-89.14,5,2.3,mlg,,,,,nm,nm600301,2016-04-14T12:59:03.290Z,"10km SSE of Obion, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-12-03T03:00:33.300Z,36.54,-89.57,5,2.8,mlg,,,,,nm,nm600309,2016-04-14T12:59:51.920Z,"6km SW of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1975-12-04T03:50:44.100Z,36.12,-89.41,5,2.1,mlg,,,,,nm,nm600312,2016-04-14T13:00:10.150Z,"9km NNW of Dyersburg, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-12-18T09:11:32.800Z,35.99,-89.91,5,2.3,mlg,,,,,nm,nm600322,2016-04-14T13:01:11.030Z,"6km ENE of Gosnell, Arkansas",earthquake,,,,,reviewed,nm,nm
1975-12-24T18:12:28.800Z,36.52,-90.06,5,2.2,mlg,,,,,nm,nm600325,2016-04-14T13:01:29.280Z,"3km NNE of Campbell, Missouri",earthquake,,,,,reviewed,nm,nm
1976-01-16T19:42:57.000Z,35.923,-92.123,14,3.2,lg,,,,,us,usp0000egm,2014-11-06T23:21:33.537Z,"Arkansas",earthquake,,,,,reviewed,us,slm
1976-01-23T00:56:39.600Z,36.55,-89.6,9,2.1,mlg,,,,,nm,nm600353,2016-04-14T13:04:19.540Z,"4km SSE of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1976-02-28T00:14:35.200Z,36.51,-89.54,10,2.1,mlg,,,,,nm,nm600367,2016-04-14T13:05:44.890Z,"8km S of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1976-03-18T19:40:22.100Z,37.65,-89.74,5,2.3,mlg,,,,,nm,nm600375,2016-04-14T13:06:33.550Z,"13km SE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1976-04-04T02:16:17.800Z,37.82,-90.99,5,2.1,mlg,,,,,nm,nm600385,2016-04-14T13:07:36.510Z,"21km SW of Potosi, Missouri",earthquake,,,,,reviewed,nm,nm
1976-04-23T22:22:41.500Z,37.29,-89.52,5,2.2,mlg,,,,,nm,nm600400,2016-04-14T13:09:07.710Z,"1km S of Cape Girardeau, Missouri",earthquake,,,,,reviewed,nm,nm
1976-05-22T07:40:46.000Z,36.04,-89.84,10,3.2,mlg,,,,,nm,nm600416,2016-04-14T13:10:45.060Z,"4km S of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1976-05-25T17:48:30.400Z,36.15,-89.76,5,2.4,mlg,,,,,nm,nm600420,2016-04-14T13:11:09.400Z,"9km S of Hayti, Missouri",earthquake,,,,,reviewed,nm,nm
1976-06-03T13:54:14.400Z,35.94,-90.13,5,2,mlg,,,,,nm,nm600427,2016-04-14T13:11:51.930Z,"7km NNE of Manila, Arkansas",earthquake,,,,,reviewed,nm,nm
1976-06-19T05:57:40.900Z,37.14,-90.5,5,2.4,mlg,,,,,nm,nm600432,2016-04-14T13:12:22.350Z,"4km WNW of Greenville, Missouri",earthquake,,,,,reviewed,nm,nm
1976-07-05T19:40:23.400Z,36.09,-89.77,5,2.1,mlg,,,,,nm,nm600439,2016-04-14T13:13:04.890Z,"5km E of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1976-09-08T02:49:28.000Z,36.16,-89.69,5,2.3,mlg,,,,,nm,nm600468,2016-04-14T13:16:01.260Z,"4km SW of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1976-09-30T18:48:43.400Z,36.2,-91.4,15,2.2,mlg,,,,,nm,nm600476,2016-04-14T13:16:49.880Z,"13km SE of Highland, Arkansas",earthquake,,,,,reviewed,nm,nm
1976-11-16T03:20:38.000Z,38.23,-89.69,5,2.1,mlg,,,,,nm,nm600501,2016-04-14T13:19:21.780Z,"5km ESE of Marissa, Illinois",earthquake,,,,,reviewed,nm,nm
